,Object ID,Title,Post Type,Author,Created At,URL,Points,Number of Comments
2533921,18414489,"The Top Machine Learning Libraries for Python, with Example Code",story,javinpaul,2018-11-09 14:19:34,https://owlskip.com/s/ML,3,0
2533952,18414801,“Buy or make” decision is not easy on front end development. How we manage it,story,void_ita,2018-11-09 14:58:44,https://medium.com/thron-tech/buy-or-make-dilemma-can-be-hard-in-frontend-development-the-360-product-view-case-4813448410dd,2,0
2534087,18416107,The Internet Is Splitting in Two Amid U.S. Dispute with China,story,eplanit,2018-11-09 17:27:31,https://www.bloombergquint.com/technology/the-internet-is-splitting-in-two-amid-u-s-dispute-with-china,2,1
2534233,18417553,Advice for shy folks who don't know how to get the most out of a tech conference,story,ohjeez,2018-11-09 20:15:21,https://www.hpe.com/us/en/insights/articles/networking-tips-for-attending-tech-conferences-1811.html,4,0
2534404,18419747,WEDEW turns air into drinking water by creating artificial clouds in shipping c,story,joeyespo,2018-11-10 03:24:33,https://www.dezeen.com/2018/11/05/wedew-air-drinking-water-artificial-clouds-shipping-container/,1,0
2534448,18420241,The Death of the Level Designer: Procedural Content Generation in Games (2008),story,erwan,2018-11-10 06:42:25,https://roguelikedeveloper.blogspot.com/2008/01/death-of-level-designer-procedural.html,1,0
2534455,18420315,"Band faked a fanbase, got booked for a European tour that nobody attended",story,camtarn,2018-11-10 07:14:36,http://www.metalinjection.net/its-just-business/la-band-threatin-faked-a-fanbase-got-a-european-tour-booked-that-nobody-attended,86,22
2534494,18420613,"47,000 Ticks on a Moose, and That’s Just Average. Blame Climate Change",story,jedwhite,2018-11-10 09:38:40,https://www.nytimes.com/2018/10/18/climate/moose-ticks.html,3,0
2534506,18420715,Building my own custom adapter to use cheap eMMC-based SSD boards,story,ginbot86,2018-11-10 10:15:29,https://ripitapart.com/2018/11/06/emmc-adventures-episode-3-building-a-custom-adapter-to-use-cheap-emmc-based-32gb-ssd-modules/,2,0
2534547,18421144,A Psychology Podcast About the Science and Practice of Living Well,story,DyslexicAtheist,2018-11-10 12:59:09,http://podplayer.net/?id=57929202,2,0
2534634,18422105,'Wallace and Gromit' Producer Aardman Animations Gives Ownership to Employees,story,walterbell,2018-11-10 16:47:32,https://www.hollywoodreporter.com/news/wallace-gromit-producer-aardman-animations-gives-ownership-employees-1159351,138,9
2534726,18423168,Neural networks are analyzing photos and captions dating back to the 1870s,story,tzury,2018-11-10 19:58:45,https://www.cnet.com/news/google-ai-helps-nyt-get-a-handle-on-5-million-photo-archive/,2,0
2399028,17066300,Data is a stakeholder (why data science might need some social science methods),story,schaunwheeler,2018-05-14 15:28:38,https://towardsdatascience.com/data-is-a-stakeholder-31bfdb650af0,4,0
2399088,17066796,Modular architecture for fully non-blocking silicon photonic switch fabric [pdf],story,godelmachine,2018-05-14 16:24:54,https://www.nature.com/articles/micronano201671.pdf,2,0
2399094,17066848,Feature Engineering and Selection: A Practical Approach for Predictive Models,story,onuralp,2018-05-14 16:31:24,http://www.feat.engineering/,2,0
2399170,17067496,Chewing a Billion by Billion Matrix Crammed into Gigabytes of Memory,story,jonbaer,2018-05-14 17:35:55,https://www.nextplatform.com/2018/05/14/chewing-a-billion-by-billion-matrix-crammed-into-gigabytes-of-memory/,6,0
2399183,17067623,How to Recover and the Important to Choose the Best Running Shoes for Achilles,story,riweskhoa,2018-05-14 17:47:04,https://everyfirststep.quora.com/How-To-Recover-And-The-Important-To-Choose-The-Best-Running-Shoes-For-Achilles-Tendinitis?share=1,1,1
2399249,17068421,Diagnosing Disease from Immune Repertoires and Reference to Source Code,story,jostmey,2018-05-14 19:02:23,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1814-6?blah,3,0
2399285,17068804,"(HN Poll Results, 104+ Answers) How busy are you at work on average?",story,cm2012,2018-05-14 19:46:55,https://strawpoll.com/47x15cf1,1,2
2399363,17069511,Are you working in the right part of the product life cycle?,story,shastacans,2018-05-14 21:13:13,https://hackernoon.com/are-you-working-in-the-right-part-of-the-product-life-cycle-6394a645478d,2,0
2563303,18705792,Show HN: A tool to earn money by deep linking to GitHub Repos,show_hn,justkd,2018-12-18 11:24:33,http://www.gittagger.com/,13,10
2563780,18710094,Show HN: DPAGE – build and publish webpages on the decentralized internet,show_hn,brisky,2018-12-18 20:11:04,https://dpage.io/,161,30
2565382,18726973,Show HN: Albatross – manage a devserver from Slack to support iPad development,show_hn,vishalkuo,2018-12-20 17:30:42,https://github.com/vishalkuo/albatross,4,0
2565983,18733143,Show HN: Personalized email addresses for your entire family,show_hn,jesperht,2018-12-21 13:30:59,https://www.namekin.com,34,56
2566776,18742062,"Show HN: Download (cache) web pages locally, manage and annotate them with tags",show_hn,burtonator2011,2018-12-22 19:32:09,https://getpolarized.io/docs/web-page-capture-and-archival-of-html-content.html,7,0
2567483,18751811,Show_HN: A tool to see your best / most loved Strava activities,show_hn,mullet1989,2018-12-24 12:18:47,http://strava.kudos.run,1,0
2569428,18774887,Show HN: Blind for Apartments – Stay in touch with your neighbors anonymously,show_hn,kaymakam,2018-12-28 04:34:04,http://www.supneighbors.com/,7,7
2570186,18782842,Show_HN: Awesome Bitcoin Payment Processors,show_hn,AlexKaul,2018-12-29 09:34:07,https://github.com/alexk111/awesome-bitcoin-payment-processors,2,1
2570381,18784721,Show HN: I am creating a website that permanently solves the “Patreon Problem”,show_hn,halfjew22,2018-12-29 17:44:44,,6,3
2540040,18477106,Show_HN: Most successful people have no idea what made them successful,show_hn,eliotpeper,2018-11-17 20:06:52,https://www.eliotpeper.com/2018/11/most-successful-people-have-no-idea.html,6,0
2543497,18509792,Show HN: A new fun way to meditate using sound,show_hn,weepy,2018-11-22 13:16:22,http://studioamplify.com/chillscape,3,1
2544651,18523407,"Show HN: A virtual crypto trading platform, test strategies, learn and compete",show_hn,viniciusfbmelo,2018-11-24 18:51:55,https://auctus.org/trading,2,0
2544963,18526603,Show_HN: A comparison chart of cryptocurrency payment processors,show_hn,r4victor,2018-11-25 12:32:20,https://howtoacceptcrypto.com/chart/,5,0
2547641,18551438,Show HN: I launched a side project for my studio to solve common design issues,show_hn,jamiesyke,2018-11-28 13:56:18,https://www.service-o-rama.com/,4,1
2548725,18561144,Show_HN: Dataturks – ML annotation tool and Verified Contract workers,show_hn,gajju3588,2018-11-29 16:02:22,https://dataturks.com/?,5,0
2551584,18590479,Show HN: Data analysis – Overview of different types of data scientists,show_hn,cosmosa,2018-12-03 17:15:08,https://www.kaggle.com/aamster/what-kagglers-do-and-how-they-got-there?scriptVersionId=8004277,2,0
2563303,18705792,Show HN: A tool to earn money by deep linking to GitHub Repos,show_hn,justkd,2018-12-18 11:24:33,http://www.gittagger.com/,13,10
2563780,18710094,Show_HN: DPAGE – build and publish webpages on the decentralized internet,show_hn,brisky,2018-12-18 20:11:04,https://dpage.io/,161,30
2565382,18726973,Show HN: Albatross – manage a devserver from Slack to support iPad development,show_hn,vishalkuo,2018-12-20 17:30:42,https://github.com/vishalkuo/albatross,4,0
2565983,18733143,Show_HN: Personalized email addresses for your entire family,show_hn,jesperht,2018-12-21 13:30:59,https://www.namekin.com,34,56
2566776,18742062,"Show HN: Download (cache) web pages locally, manage and annotate them with tags",show_hn,burtonator2011,2018-12-22 19:32:09,https://getpolarized.io/docs/web-page-capture-and-archival-of-html-content.html,7,0
2567483,18751811,Show_HN: A tool to see your best / most loved Strava activities,show_hn,mullet1989,2018-12-24 12:18:47,http://strava.kudos.run,1,0
2569428,18774887,Show HN: Blind for Apartments – Stay in touch with your neighbors anonymously,show_hn,kaymakam,2018-12-28 04:34:04,http://www.supneighbors.com/,7,7
2570186,18782842,Show_HN: Awesome Bitcoin Payment Processors,show_hn,AlexKaul,2018-12-29 09:34:07,https://github.com/alexk111/awesome-bitcoin-payment-processors,2,1
2570381,18784721,Show HN: I am creating a website that permanently solves the “Patreon Problem”,show_hn,halfjew22,2018-12-29 17:44:44,,6,3
2477429,17848379,Ask HN: I am building an analytics feature for a site involving downloads,ask_hn,mmanfrin,2018-08-26 22:54:37,,1,0
2477445,17848590,Ask_HN: What's the most difficult part of learning to program?,ask_hn,lachlan-sneff,2018-08-26 23:56:32,,18,22
2478206,17854578,Ask_HN: What do you use to save and search for your own code snippets,ask_hn,snipethunder,2018-08-27 21:09:13,,1,3
2479199,17863934,Ask HN: What type of work allows you to write lots of fun algorithms?,ask_hn,greatatuin,2018-08-28 23:43:32,,3,1
2479780,17869722,Ask HN: What's your excuse for not doing that thing you should be doing?,ask_hn,meagher,2018-08-29 16:52:06,,1,1
2480800,17879337,Ask_HN: Have you made money from referring people to jobs?,ask_hn,hollaur,2018-08-30 18:28:21,,1,0
2481267,17884643,Ask HN: Suggested Intro to Stats Courses with Programming Assignments,ask_hn,seanharr11,2018-08-31 11:33:53,,2,0
2472204,17798094,Ask_HN: Did you get a decision for your Startup School application yet?,ask_hn,r_singh,2018-08-20 06:33:48,,1,2
2473358,17808874,Ask HN: How do I negotiate a raise and promotion after 1 year at my company?,ask_hn,dotdi,2018-08-21 12:17:07,,6,20
2474658,17820588,Ask_HN: Which tool can be used to visualize GPU memory usage in a spark cluster?,ask_hn,worldexplorer,2018-08-22 18:07:32,,1,1
2475494,17828819,Ask HN: What's wrong with your corp security people and their processes?,ask_hn,motohagiography,2018-08-23 17:01:11,,1,0
2475839,17832060,Ask_HN: Where can I download an archive of resumes in PDF or Word format?,ask_hn,byoung2,2018-08-24 01:24:57,,2,0
2476178,17835003,Ask HN: How do you integrate corp security/risk people into agile projects?,ask_hn,motohagiography,2018-08-24 14:07:34,,10,19
2476770,17841020,Ask_HN: Urgent Need an email provider that would never black-hole incoming email,ask_hn,info_master,2018-08-25 14:57:34,,3,3
2295632,16053511,Poll: deep learning vs. cryptocurrencies for your next hobby project?,poll,naveen99,2018-01-02 17:37:21,,1,1
2304535,16142696,Poll: Are you paying taxes on cryptocoin taxes this year?,poll,will_brown,2018-01-14 03:36:00,,4,2
2452335,17603646,"Poll: Friends of Apple employees, what laptop do they use?",poll,reimertz,2018-07-24 18:19:00,,2,2
2485062,17922651,Poll: How old is your current smartphone?,poll,craftsman,2018-09-05 23:16:30,,10,14
2489647,17966826,Poll: Did you know that HN explicitly supports polls?,poll,netgusto,2018-09-12 09:29:21,,3,4
2568389,18762329,Poll: Which of these books would recommend to a First-Time founder?,poll,febin,2018-12-26 14:39:12,,4,1
2543755,18512781,Ask_HN: How long did your app take to be approved by Facebook?,ask_hn,demoonkevin,2018-11-22 21:47:20,,6,1
2543790,18513291,"Ask HN: Good and great developers, how should be your hiring interviews?",ask_hn,samblr,2018-11-22 23:34:20,,1,0
2348017,16558310,Poll: Did you know HN supports poll submissions?,poll,akvadrako,2018-03-10 12:57:42,,3,0
2424799,17331696,"Poll: Developers, which JavaScript framework you're using in 2018?",poll,startupflix,2018-06-17 10:10:24,,3,0
2508347,18160819,Poll: Are you on-course to achieve business targets you’ve set for 2018,poll,anoncow,2018-10-07 14:51:23,,3,0
2401175,17086055,"Poll: New'ish startups, what top-level domain do you use?",poll,plessthanpt05,2018-05-16 20:15:53,,1,3
2510671,18184427,"Show HN: Signal – Simple, beautiful and privacy oriented open source analytics",show_hn,z0mbie42,2018-10-10 13:03:52,https://github.com/bloom42/signal,1,3
2680321,19897458,Poll: Did you see the alternative parse of the title?,poll,ColinWright,2019-05-13 09:30:36,,2,0
2667823,19766565,"Poll: Would you like a separate page for “HN Polls”, just like “Jobs”?",poll,plibither8,2019-04-27 17:23:10,,4,1
2684847,19947594,Poll: Which search engine do you use most regularly?,poll,akvadrako,2019-05-18 14:34:11,,3,2
2598069,19066033,Cerebral blood flow and personality: a positron emission tomography study,story,amelius,2019-02-02 22:05:48,https://www.ncbi.nlm.nih.gov/pubmed/9989562,22,0
2598116,19066404,Battling AI algorithm tested on a quantum computer for first time,story,rbanffy,2019-02-02 23:04:55,https://www.newscientist.com/article/2191929-battling-ai-algorithm-tested-on-a-quantum-computer-for-first-time/,2,0
2598183,19067190,Machine learning leads mathematicians to unsolvable problem,story,magoghm,2019-02-03 01:33:23,https://www.nature.com/articles/d41586-019-00083-3,197,92
2700109,20111477,Ask_HN: How should AI education be incorporated into med school curriculum?,ask_hn,reubens,2019-06-06 04:02:35,,1,0
2700694,20116605,Ask_HN: Why extremely big companies acquire other companies in their own space?,ask_hn,techsin101,2019-06-06 17:11:50,,1,0
2674176,19832307,Show_HN: Sample App Implementing Android Architecture Components with Dagger2,show_hn,samyak,2019-05-05 11:38:59,https://github.com/samyakjain/Song-Of-God,3,0
2674612,19836860,Show HN: Sound Mixer for RPG Games – Make Dungeons and Dragons More Interesting,show_hn,desaiguddu,2019-05-06 04:23:01,https://battlebards.com,7,0
